model,acc,f1,time_s,peak_mem_gb,peak_vram_gb,best_lr,best_bs,best_ep,f1_per_sec
Full-FT,0.874,0.8739571557155716,809.2106540203094,0.56689453125,,2e-05,16,2,0.0010800119244273286
LoRA,0.883,0.8829830345758644,850.0692539215088,0.4555816650390625,,0.0005,16,3,0.0010387189402540074
